,polarity,tweet_Id,date,fulltweet
3,1.0,1462978165878394886,2021-11-23T02:55:50.000Z,tune watch amy continue rep oakland week
4,1.0,1462978259759644680,2021-11-23T02:56:12.000Z,millennia evolution technological development led us ability share thoughts strangers anywhere world u chosen use pointlessly cruel someone game show
5,1.0,1462978417138225157,2021-11-23T02:56:50.000Z,latest playful news thanks thejeopardyfan funko
6,1.0,1462978492887277580,2021-11-23T02:57:08.000Z,didn u make final absolutely would kill
7,1.0,1462978509819756549,2021-11-23T02:57:12.000Z,thanks replying champion matt
8,1.0,1462978562277916684,2021-11-23T02:57:24.000Z,gottem u f n nthe coward deleted tweets xd
9,1.0,1462978752346918914,2021-11-23T02:58:10.000Z,wait everyone makes final
10,1.0,1462978892793319424,2021-11-23T02:58:43.000Z,guess chose spend time responding u f u f fb
12,1.0,1462978986334724098,2021-11-23T02:59:05.000Z,humanity saw man give life protect humanity monster humanity realize real deal cared enough put life us beautiful thing u innocence seemed forgotten
15,1.0,1462979252840771591,2021-11-23T03:00:09.000Z,watching x amy schneider heidi stumb mack hayden cbs kbak trakt
16,1.0,1462979308473905155,2021-11-23T03:00:22.000Z,category u don u miss amas sunday c abc u f c u
17,1.0,1462979400119422980,2021-11-23T03:00:44.000Z,u f u f
19,1.0,1462979691623579654,2021-11-23T03:01:53.000Z,amy hair looks great
20,1.0,1462979905600335876,2021-11-23T03:02:45.000Z,category bull mfm mmf hung hungsydney teamuncut bullhung com forey
21,1.0,1462979982586642432,2021-11-23T03:03:03.000Z,finally let take anytime test didn u know geography questions also brain slow remember answers even though knew
22,1.0,1462980036110258180,2021-11-23T03:03:16.000Z,best thing since tom hanks black
23,1.0,1462980056041463808,2021-11-23T03:03:20.000Z,watching yeah thats dude
25,1.0,1462980392328306690,2021-11-23T03:04:41.000Z,oh not worry occasional stray transphobic comments seen vastly outnumbered u
27,1.0,1462980445478342660,2021-11-23T03:04:53.000Z,watching
28,1.0,1462980602127286273,2021-11-23T03:05:31.000Z,u man
